price,currency,color,region,sku,name,size,crawl_time,description,category
350.00, ,,UNITED STATES,3Y5A045NYUZ25142514,BICOLOUR 100% COTTON JACQARD SHORT DRESS,,,,
"1,045.00", ,,UNITED STATES,VMA45TVM186117117,Short Dress,,,,
975.00, ,,UNITED STATES,VMA41TVM505099099,PATTERNED GEORGETTE DRESS ,,,,
795.00, ,,UNITED STATES,3YMA03MM04Z09990999,SHORT SLEEVE JERSEY DRESS ,,,,
895.00, ,,UNITED STATES,VMA12TVM015727727,FABRIC BELT DRESS ,,,,
400.00, ,,UNITED STATES,3Y5A665NYDZ15971597,Dress,,,,
330.00, ,,UNITED STATES,3Y5A615NZEZ14801480,COMFORTABLE FIT SHEATH DRESS,,,,
360.00, ,,UNITED STATES,3Y5A535NZNZ25PJ25PJ,Short Dress,,,,
370.00, ,,UNITED STATES,3Y5A495NYSZ155N155N,Short Dress,,,,
370.00, ,,UNITED STATES,3Y5A675NTAZ25PJ25PJ,Long dress,,,,
975.00, ,,UNITED STATES,VMA13TVM015999999,Short Dress,,,,
420.00, ,,UNITED STATES,3Y5A095D1ZZ15001500,Long dress,,,,
400.00, ,,UNITED STATES,3Y5A635NZKZ05430543,STRETCH COTTON DRESS WITH FULL SKIRT,,,,
320.00, ,,UNITED STATES,3Y5A085N1PZ15141514,Short Dress,,,,
300.00, ,,UNITED STATES,3Y5A115N16Z12001200,SHORT DRESS WITH CROPPED VEST ,,,,
320.00, ,,UNITED STATES,3Y5A085N1PZ11001100,Short Dress,,,,
300.00, ,,UNITED STATES,3Y5A065N1MZ11481148,Short Dress,,,,
300.00, ,,UNITED STATES,3Y5A125N1IZ29282928,Short Dress,,,,
230.00, ,,UNITED STATES,3Y5A935JZAZ14681468,Short Dress,,,,
300.00, ,,UNITED STATES,3Y5A045N1KZ12001200,BICOLOUR 100% COTTON JACQARD SHORT DRESS,,,,
230.00, ,,UNITED STATES,3Y5A935JZAZ11481148,Short Dress,,,,
270.00, ,,UNITED STATES,3Y5A105N16Z04530453,SOLID COLOUR CREPE DRESS,,,,
250.00, ,,UNITED STATES,3Y5A925JYAZ21RG21RG,STRIPED STRETCH JERSEY DRESS,,,,
270.00, ,,UNITED STATES,3Y5A105N16Z12001200,SOLID COLOUR CREPE DRESS,,,,
230.00, ,,UNITED STATES,3Y5A955JZAZ155N155N,Short Dress,,,,
270.00, ,,UNITED STATES,3Y5A485NTAZ25392539,MULTICOLOUR PIXEL PATTERN DRESS,,,,
425.00, ,,UNITED STATES,VMC05TVM301125125,SOLID COLOUR SATIN BLOUSE,,,,
625.00, ,,UNITED STATES,PMC08TPM3321630,SILK BLOUSE,,,,
425.00, ,,UNITED STATES,VMC05TVM301999999,SOLID COLOUR SATIN BLOUSE,,,,
